cpuName,price,cpuMark,cpuValue,threadMark,threadValue,TDP,powerPerf,cores,testDate,socket,category,performance_per_core,performance_per_watt,thread_efficiency,brand,cpu_name_clean,singleScore,multiScore,baseClock,turboClock,boost_headroom,smt_efficiency,single_efficiency,scaling_efficiency,gaming_score,productivity_score,combined_score,r23_per_dollar,gaming_value,productivity_value
Intel Core i5-12600KF,260.98,27186,104.17,3967,15.2,150.0,181.24,6,2021,FCLGA1700,Desktop,4531.0,181.24,0.8755241668505849,Intel,Intel Core i5-12600KF,1929.0,17979.0,3.7,4.9,0.32432432432432434,1.6,393.67346938775506,0.9320373250388803,6744.0,13164.0,9954.0,68.89033642424707,25.84106061767185,50.440646792857684
AMD Ryzen 7 5700X,299.0,27065,90.52,3397,11.36,65.0,416.38,8,2022,AM4,Desktop,3383.125,416.38461538461536,1.004101237760946,AMD,AMD Ryzen 7 5700X,1539.0,14437.0,3.4,4.6,0.35294117647058815,2.0,334.5652173913044,1.1725958414554907,5408.4,10567.6,7988.0,48.28428093645485,18.08829431438127,35.34314381270903
Intel Xeon Gold 6208U @ 2.90GHz,1406.99,26901,19.12,2247,1.6,150.0,179.34,16,2020,FCLGA3647,Server,1681.3125,179.34,1.336455893832943,Intel,Intel Xeon Gold 6208U,,,,,,,,,2247.0,26901.0,26901.0,,1.5970262759507885,19.119538873765983
Intel Core i9-7960X @ 2.80GHz,990.97,26699,26.94,2525,2.55,165.0,161.81,16,2017,FCLGA2066,Desktop,1668.6875,161.8121212121212,1.5131652870894041,Intel,Intel Core i9-7960X,1117.0,15301.0,2.8,4.2,0.5000000000000001,2.0,265.95238095238096,0.8561436884512086,5372.2,11045.8,8209.0,15.440427056318557,5.421153011695611,11.146452465765865
Intel Core i9-10920X @ 3.50GHz,679.99,26696,39.26,2766,4.07,165.0,161.79,12,2019,FCLGA2066,Desktop,2224.6666666666665,161.79393939393938,1.2433323344321248,Intel,Intel Core i9-10920X,1307.0,15709.0,3.5,4.6,0.31428571428571417,2.0,284.13043478260875,1.0015939811272634,5627.599999999999,11388.4,8508.0,23.10181032074001,8.276004058883219,16.747893351372813
Intel Xeon Platinum 8175M @ 2.50GHz,2007.56,26659,,1903,,200.0,,24,2018,FCLGA3647,Server,1110.7916666666667,133.295,1.713192542856071,Intel,Intel Xeon Platinum 8175M,,,,,,,,,1903.0,26659.0,26659.0,,0.9479168742154656,13.27930423001056
Intel Xeon Gold 6230 @ 2.10GHz,1990.0,26657,13.4,2285,1.15,125.0,213.25,20,2019,FCLGA3647,Server,1332.85,213.256,1.7143714596541246,Intel,Intel Xeon Gold 6230,,,,,,,,,2285.0,26657.0,26657.0,,1.1482412060301508,13.395477386934674
Intel Core i9-7940X @ 3.10GHz,548.87,26508,48.3,2490,4.54,165.0,160.65,14,2017,FCLGA2066,Desktop,1893.4285714285713,160.65454545454546,1.3150746944318696,Intel,Intel Core i9-7940X,,,,,,,,,2490.0,26508.0,26508.0,,4.536593364548982,48.29558911946363
Intel Xeon Platinum 8160 @ 2.10GHz,2348.7,26485,11.28,1984,0.84,150.0,176.56,24,2017,FCLGA3647,Server,1103.5416666666667,176.56666666666666,1.7978478383990937,Intel,Intel Xeon Platinum 8160,,,,,,,,,1984.0,26485.0,26485.0,,0.8447226125090477,11.276450802571636
AMD Ryzen Threadripper 2990X,2840.0,26469,,2285,,250.0,105.88,32,2018,TR4,Desktop,827.15625,105.876,2.7624768597226943,AMD,AMD Ryzen Threadripper 2990X,,,,,,,,,2285.0,26469.0,26469.0,,0.8045774647887324,9.320070422535212
AMD EPYC 7272,605.45,26446,43.68,2013,3.32,120.0,220.38,12,2020,SP3,Server,2203.8333333333335,220.38333333333333,0.9134084549648339,AMD,AMD EPYC 7272,,,,,,,,,2013.0,26446.0,26446.0,,3.3247997357337513,43.67990750681311
Intel Xeon Gold 5318Y @ 2.10GHz,1361.0,26400,19.4,1826,1.34,165.0,160,24,2022,FCLGA4189,Server,1100.0,160.0,1.66,Intel,Intel Xeon Gold 5318Y,,,,,,,,,1826.0,26400.0,26400.0,,1.3416605437178546,19.397501836884643
Intel Xeon Gold 6242 @ 2.80GHz,2465.14,26288,10.66,2196,0.89,150.0,175.26,16,2019,FCLGA3647,Server,1643.0,175.25333333333333,1.336579427875837,Intel,Intel Xeon Gold 6242,,,,,,,,,2196.0,26288.0,26288.0,,0.8908216166221797,10.66389738513837
Intel Xeon W-1390P @ 3.50GHz,395.0,26031,,3619,,125.0,208.24,8,2021,FCLGA1200,"Desktop, Server",3253.875,208.248,1.1122123621835505,Intel,Intel Xeon W-1390P,,,,,,,,,3619.0,26031.0,26031.0,,9.162025316455697,65.90126582278481
Intel Xeon W-2265 @ 3.50GHz,944.0,25984,27.53,2810,2.98,165.0,157.48,12,2020,FCLGA2066,Server,2165.3333333333335,157.47878787878787,1.2977216748768472,Intel,Intel Xeon W-2265,,,,,,,,,2810.0,25984.0,25984.0,,2.9766949152542375,27.52542372881356
Intel Xeon W-3235 @ 3.30GHz,1829.99,25974,14.19,2622,1.43,180.0,144.3,12,2019,FCLGA3647,Server,2164.5,144.3,1.2113652113652114,Intel,Intel Xeon W-3235,,,,,,,,,2622.0,25974.0,25974.0,,1.4327947147252171,14.1935201831704
Intel Xeon W-3323 @ 3.50GHz,949.0,25875,27.27,2617,2.76,220.0,117.61,12,2021,FCLGA4189,"Desktop, Server",2156.25,117.61363636363636,1.2136811594202899,Intel,Intel Xeon W-3323,,,,,,,,,2617.0,25875.0,25875.0,,2.757639620653319,27.265542676501582
Intel Xeon Gold 5220 @ 2.20GHz,1674.44,25740,15.37,2396,1.43,125.0,205.92,18,2019,FCLGA3647,Server,1430.0,205.92,1.6755244755244756,Intel,Intel Xeon Gold 5220,,,,,,,,,2396.0,25740.0,25740.0,,1.4309261603879506,15.372303576120972
AMD Ryzen 7 5800,395.0,25644,,3386,,65.0,394.52,8,2021,AM4,Desktop,3205.5,394.5230769230769,1.0563094681017002,AMD,AMD Ryzen 7 5800,1580.0,14231.0,3.4,4.6,0.35294117647058815,2.0,343.47826086956525,1.125870253164557,5375.3,10435.699999999999,7905.5,36.027848101265825,13.608354430379748,26.419493670886073
Intel Core i9-11900K @ 3.50GHz,397.97,25539,64.17,3519,8.84,125.0,204.31,8,2021,FCLGA1200,Desktop,3192.375,204.312,1.1023141078350758,Intel,Intel Core i9-11900K,1671.0,16211.0,3.5,5.3,0.5142857142857142,2.0,315.2830188679245,1.212672052663076,6033.0,11848.999999999998,8941.0,40.73422619795462,15.159434128200617,29.773601025202897
Intel Xeon E5-2698R v4 @ 2.20GHz,1950.0,25532,,2225,,165.0,,20,2021,FCLGA2011-3,Server,1276.6,154.73939393939395,1.7429108569638103,Intel,Intel Xeon E5-2698R v4,,,,,,,,,2225.0,25532.0,25532.0,,1.141025641025641,13.093333333333334
AMD Ryzen 7 5800X3D,599.0,25508,42.58,2850,4.76,105.0,242.93,8,2022,AM4,Desktop,3188.5,242.93333333333334,0.8938372275364591,AMD,AMD Ryzen 7 5800X3D,1516.0,15049.0,3.4,4.5,0.3235294117647059,2.0,336.8888888888889,1.2408476253298153,5575.9,10989.099999999999,8282.5,25.12353923205342,9.308681135225376,18.3457429048414
AMD EPYC 7351P,739.0,25484,34.48,1809,2.45,155.0,164.41,16,2017,SP3,Server,1592.75,164.41290322580645,1.1357714644482813,AMD,AMD EPYC 7351P,,,,,,,,,1809.0,25484.0,25484.0,,2.4479025710419484,34.48443843031123
AMD Ryzen 7 6800HS,395.0,25460,,3428,,35.0,727.44,8,2022,FP7,Laptop,3182.5,727.4285714285714,1.0771406127258445,AMD,AMD Ryzen 7 6800HS,1505.0,12645.0,3.2,4.7,0.46875,2.0,320.2127659574468,1.0502491694352158,4847.0,9303.0,7075.0,32.0126582278481,12.270886075949367,23.551898734177215
Intel Xeon Platinum 8167M @ 2.00GHz,1870.0,25396,,1455,,200.0,,26,2019,FCLGA3647,Server,976.7692307692307,126.98,1.48960466215152,Intel,Intel Xeon Platinum 8167M,,,,,,,,,1455.0,25396.0,25396.0,,0.7780748663101604,13.580748663101604
Intel Core i9-11900KF @ 3.50GHz,379.98,25390,66.82,3563,9.38,125.0,203.12,8,2021,FCLGA1200,Desktop,3173.75,203.12,1.122646711303663,Intel,Intel Core i9-11900KF,1670.0,16367.0,3.5,5.3,0.5142857142857142,2.0,315.09433962264154,1.225074850299401,6079.099999999999,11957.9,9018.5,43.073319648402546,15.998473603873887,31.469814200747404
Intel Core i9-9920X @ 3.50GHz,999.0,25291,25.32,2621,2.62,165.0,153.28,12,2018,FCLGA2066,Desktop,2107.5833333333335,153.27878787878788,1.2436044442687122,Intel,Intel Core i9-9920X,1077.0,15018.0,3.5,4.4,0.25714285714285723,2.0,244.77272727272725,1.1620241411327763,5259.299999999999,10835.699999999999,8047.5,15.033033033033034,5.264564564564564,10.846546546546545
AMD Ryzen Threadripper 2920X,761.0,25203,33.12,2482,3.26,180.0,140.01,12,2018,sTR4,Desktop,2100.25,140.01666666666668,1.1817640757052732,AMD,AMD Ryzen Threadripper 2920X,,,,,,,,,2482.0,25203.0,25203.0,,3.26149802890933,33.11826544021025
Intel Xeon W-1370P @ 3.60GHz,411.99,25202,61.17,3494,8.48,125.0,201.62,8,2021,FCLGA1200,"Desktop, Server",3150.25,201.616,1.1091183239425442,Intel,Intel Xeon W-1370P,,,,,,,,,3494.0,25202.0,25202.0,,8.480788368649725,61.17138765504017
Intel Xeon Gold 5218R @ 2.10GHz,1268.96,25191,19.85,2200,1.73,125.0,201.52,20,2021,FCLGA3647,Server,1259.55,201.528,1.746655551585884,Intel,Intel Xeon Gold 5218R,,,,,,,,,2200.0,25191.0,25191.0,,1.7337031900138695,19.85168957256336
AMD Ryzen 7 PRO 5750G,395.0,25004,,3361,,65.0,384.68,8,2021,AM4,Desktop,3125.5,384.67692307692306,1.0753479443289073,AMD,AMD Ryzen 7 PRO 5750G,,,,,,,,,3361.0,25004.0,25004.0,,8.50886075949367,63.30126582278481
AMD EPYC 7501,3616.0,24925,6.89,1925,0.53,155.0,160.81,32,2017,SP3,Server,778.90625,160.80645161290323,2.4714142427281844,AMD,AMD EPYC 7501,,,,,,,,,1925.0,24925.0,24925.0,,0.5323561946902655,6.892975663716814
Intel Xeon Gold 6138T @ 2.00GHz,7528.0,24800,3.29,2050,0.27,125.0,198.4,20,2020,FCLGA3647,Server,1240.0,198.4,1.653225806451613,Intel,Intel Xeon Gold 6138T,,,,,,,,,2050.0,24800.0,24800.0,,0.27231668437832096,3.2943676939426143
Intel Xeon Gold 6143 @ 2.80GHz,1388.8600000000001,24786,,2248,,205.0,120.91,16,2019,FCLGA3647,Server,1549.125,120.90731707317073,1.4511417735818608,Intel,Intel Xeon Gold 6143,,,,,,,,,2248.0,24786.0,24786.0,,1.6185936667482683,17.846291202857017
Intel Core i7-11700K @ 3.60GHz,297.0,24749,83.33,3429,11.55,125.0,197.99,8,2020,FCLGA1200,Desktop,3093.625,197.992,1.1084084205422442,Intel,Intel Core i7-11700K,1582.0,15136.0,3.6,5.0,0.38888888888888884,2.0,316.4,1.1959544879898862,5648.2,11069.8,8359.0,50.96296296296296,19.017508417508417,37.27205387205387
Intel Xeon W-2170B @ 2.50GHz,806.6949999999999,24745,,2578,,125.0,,14,2018,FCLGA-2066,Server,1767.5,197.96,1.4585572842998586,Intel,Intel Xeon W-2170B,,,,,,,,,2578.0,24745.0,24745.0,,3.1957555209837674,30.67454242309671
Intel Xeon E5-2699 v4 @ 2.20GHz,5957.96,24619,4.13,1937,0.33,145.0,169.79,22,2016,FCLGA2011-3,Server,1119.0454545454545,169.78620689655173,1.7309395182582559,Intel,Intel Xeon E5-2699 v4,,,,,,,,,1937.0,24619.0,24619.0,,0.325111279699763,4.132119047459198
AMD Ryzen 7 5700G,233.0,24545,105.34,3281,14.08,65.0,377.62,8,2021,AM4,Desktop,3068.125,377.61538461538464,1.069382766347525,AMD,AMD Ryzen 7 5700G,1535.0,14350.0,3.8,4.6,0.21052631578947364,2.0,333.69565217391306,1.1685667752442996,5379.5,10505.5,7942.5,61.587982832618025,23.087982832618025,45.087982832618025
Intel Xeon Gold 6150 @ 2.70GHz,2411.0,24489,10.16,2190,0.91,165.0,148.42,18,2017,FCLGA3647,Server,1360.5,148.4181818181818,1.609702315325248,Intel,Intel Xeon Gold 6150,,,,,,,,,2190.0,24489.0,24489.0,,0.9083367897138117,10.157196184155952
Intel Xeon Gold 6246 @ 3.30GHz,3113.22,24446,7.85,2450,0.79,165.0,148.16,12,2019,FCLGA3647,Server,2037.1666666666667,148.15757575757576,1.2026507404074285,Intel,Intel Xeon Gold 6246,,,,,,,,,2450.0,24446.0,24446.0,,0.7869665491035006,7.852320105871092
